user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,parsed_date,only_date,only_time,datetime_for_sorting
Question Everything,,,2021-01-03 14:11:38,57.0,83.0,1856.0,False,2021-05-25 15:23:07,"There we have it. #lockdown is continuing. Those that have had #CovidVaccine must now feel foolish. Still have to isolate, still have to wear a mask and depending where you live avoid indoor gatherings! 

Still think it’s about a virus as you’re being controlled and dehumanised!?","['lockdown', 'CovidVaccine']",Twitter for iPhone,False,2021-05-25 15:23:07,2021-05-25,15:23:07,2021-05-25 15:23:07
R.M.Hanfi.,"महाराष्ट्र, भारत","Family in Medical Profession as a Dr,Scientist in Pharma R&D & Pharmacist.All Tweets Are http://Personal. Email Id=r_m_hanfi @yahoo.com ; rm hanfi65@gmail.com",2018-09-17 18:22:07,157.0,745.0,3867.0,False,2021-05-25 15:23:15,"@shubhshaurya1 @SupriyaShrinate @anjanaomkashyap 2,829 Cr Rs given to electronic media!
Daily Avg 1Cr 29 lakhs
2018-19 loksabha it was declared,and RTI Anil Gadgil, Indian express too.Go &amp; check out
Why media will ask question to Govt.
#WakeUpBJP #CovidVaccine #coronavirus #COVID19 #CNBC #farewell #Covid #COVIDEmergency #Corona https://t.co/2VdRKjX7tf","['WakeUpBJP', 'CovidVaccine', 'coronavirus', 'COVID19', 'CNBC', 'farewell', 'Covid', 'COVIDEmergency', 'Corona']",Twitter for Android,False,2021-05-25 15:23:15,2021-05-25,15:23:15,2021-05-25 15:23:15
Tom Megalis,USA,artist. director                                              Facebook. https://t.co/SMj9ExuSym,2010-02-28 05:57:51,978.0,1077.0,635.0,False,2021-05-25 15:23:45,Get vaccinated. Let’s beat this thing into submission.  #COVID19 #CoronaVaccine #CovidVaccine #GetVaccinated #vaccinated #VaccinesWork https://t.co/nweIvWDgCt,"['COVID19', 'CoronaVaccine', 'CovidVaccine', 'GetVaccinated', 'vaccinated', 'VaccinesWork']",Twitter for iPhone,False,2021-05-25 15:23:45,2021-05-25,15:23:45,2021-05-25 15:23:45
Sam Rogers 🎱🎱,"Walkden, England",Sports fan. cricket tragic and fan of all things cue sports! Potty mouth Love a good stat! Passionate about #MentalHealth,2009-07-14 15:09:25,486.0,1487.0,8120.0,False,2021-05-25 15:24:39,#CovidVaccine booked for tomorrow 💪🏻💪🏻💪🏻💪🏻💪🏻,['CovidVaccine'],Twitter for iPhone,False,2021-05-25 15:24:39,2021-05-25,15:24:39,2021-05-25 15:24:39
Isabela Kim Lai,Brazil,"MS3 🇧🇷| Interested in Internal Medicine and Lifestyle Medicine| 💻 Looking for #networking | Passionate about sports, traveling, dogs, and nature 🎾🌎🐶🌄",2021-03-25 10:51:04,70.0,143.0,245.0,False,2021-05-25 15:25:58,"I got vaccinated! 🙏🏽

#VaccinesSaveLives #AstraZeneca #CovidVaccine https://t.co/6NwIB8S8sN","['VaccinesSaveLives', 'AstraZeneca', 'CovidVaccine']",Twitter for iPhone,False,2021-05-25 15:25:58,2021-05-25,15:25:58,2021-05-25 15:25:58
i-medics,"West Midlands, England","RCA/CSA/AKT/PLAB/Medical School Entry/UKMLA exams 👨‍⚕️ 👩‍⚕️
Question Banks, Video Courses & Podcasts 🏥
Humanitarian Aid Worldwide 📚
#meded #foamed #doctors",2018-01-08 14:29:08,345.0,210.0,631.0,False,2021-05-25 15:26:00,"Moderna vaccine 'highly effective' in teens

https://t.co/QH2GSUSGWT

#MedTwitter #COVID19 #CovidVaccine #modernavaccine","['MedTwitter', 'COVID19', 'CovidVaccine', 'modernavaccine']",Twitter Web App,False,2021-05-25 15:26:00,2021-05-25,15:26:00,2021-05-25 15:26:00
J Machado,,Organizing 5 minutes to Change the World. Join me @6am & 6pm ET to focus thought on peace for 5 minutes.  More people = more power so spread the message.,2020-02-19 22:33:58,23.0,106.0,81.0,False,2021-05-25 15:26:35,First round of vaccine in.  #Moderna #CovidVaccine,"['Moderna', 'CovidVaccine']",Twitter for iPhone,False,2021-05-25 15:26:35,2021-05-25,15:26:35,2021-05-25 15:26:35
DAVID ÉIRE - Ireland for the Irish ! No Retreat!,IRELAND : GAB - @DAVID_EIRE,"Scamdemic -99.996% survival
Anti-VAXX
Pro Nuclear 
IREXIT -IR Punt
No Fakeugees
Anti-Islam
Rescind Troika Debt
Restore Maritime Boundary
Pro Sovereignty

FOLLOW",2009-11-28 13:09:57,645.0,1050.0,7734.0,False,2021-05-25 15:26:43,"Young Girl Records Video From Hospital Bed After Taking COVID Vaccine

A young teen girl is now experiencing shocking medical symptoms after taking the Johnson &amp; Johnson #COVIDvaccine. https://t.co/Tz93IMo5iu",['COVIDvaccine'],Twitter for Android,False,2021-05-25 15:26:43,2021-05-25,15:26:43,2021-05-25 15:26:43
West Bridgford Wire News,Nottingham,"Nottingham's fastest breaking news website ▶︎ 📱💻
Also on IG & TikTok  • 0115 944 7445 • newsdesk@westbridgfordwire.com",2011-10-14 10:28:03,23360.0,13197.0,4.0,False,2021-05-25 15:27:34,"• UK Covid update 25 May – 15 deaths and 2,493 cases - see hospitals and vaccination data
#COVIDUK #CovidVaccine #Nottingham 
https://t.co/dwFiMyDmi9","['COVIDUK', 'CovidVaccine', 'Nottingham']",Twitter Web App,False,2021-05-25 15:27:34,2021-05-25,15:27:34,2021-05-25 15:27:34
Sumi Dutta,"New Delhi, India","Journalist with @NewIndianXpress. Fly on the wall. Amateur Madhubani Painter. Write mainly on health, education and gender issues. Ex @ttindia @timesofindia",2012-12-12 08:37:46,2205.0,1069.0,5170.0,False,2021-05-25 15:27:48,"@Pfizer ready to supply 5 crore #CovidVaccine doses to India this year, reports PTI

#COVIDEmergency","['CovidVaccine', 'COVIDEmergency']",Twitter Web App,False,2021-05-25 15:27:48,2021-05-25,15:27:48,2021-05-25 15:27:48
