user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,parsed_date,only_date,only_time,datetime_for_sorting
Dr. John Whyte,"Washington, DC","Physician, Author, Chief Medical Officer @WebMD I am passionate about changing how we think about #Health. Views my own.",2015-02-15 16:51:51,54443.0,9518.0,11979.0,True,2020-11-09 23:34:50,Thanks @MaddieFarberUDK helping  put in perspective. #CovidVaccine https://t.co/XLWTPHihsd,['CovidVaccine'],Twitter for iPhone,False,2020-09-11 23:34:50,2020-09-11,23:34:50,2020-09-11 23:34:50
evanjweiner,"new york, ny","writer, pundit, lecturer",2008-09-23 15:41:39,1101.0,1682.0,66.0,False,2020-11-09 23:36:30,@SportsTalkFLA @newstalkflorida @USSportsAcademy @JWMediaDC @Wordmandc #SportsBiz #sports #SportsNews #CovidVaccine… https://t.co/YVkD4gDROQ,"['SportsBiz', 'sports', 'SportsNews', 'CovidVaccine']",Twitter Web App,False,2020-09-11 23:36:30,2020-09-11,23:36:30,2020-09-11 23:36:30
Diane Carrozza,,,2010-02-03 03:22:57,171.0,139.0,60631.0,False,2020-11-09 23:36:39,@SenSchumer @SenateDems Reminder: Pfizer now owns Wyeth Pharma - makers of PhenFen. They owe billions for hiding fr… https://t.co/lPYiqB5QOa,,Twitter for iPad,False,2020-09-11 23:36:39,2020-09-11,23:36:39,2020-09-11 23:36:39
Sambhavami Yuge Yuge,👣,"India. Bharat. Hindustan.
Dump Criminals, Corrupts & Dynasts!
Appreciate who ever does well for Mother India! Calling Spade a Spade! No Buttering! No Bucketing!",2015-06-24 12:54:57,108.0,440.0,5533.0,False,2020-11-09 23:36:43,Much appreciated Mr.President Elect. But the real question is how true is this pandemic? #coronavirus… https://t.co/BayXts7MIW,['coronavirus'],Twitter for Android,False,2020-09-11 23:36:43,2020-09-11,23:36:43,2020-09-11 23:36:43
Doug Terry,Just outside the Beltway,"Journalist, writer, photographer, technologist, business owner. NPR, WFAA-TV, CBC, 80 television stations across the US, Israeli Radio, BBC, others.",2009-05-06 20:25:56,99.0,325.0,2.0,False,2020-11-09 23:37:04,#COVID19 #CovidVaccine We are appearing to be entering a new and most severe period of the cononavirus pandemic in… https://t.co/OuXqrl6zJ2,"['COVID19', 'CovidVaccine']",Twitter Web App,False,2020-09-11 23:37:04,2020-09-11,23:37:04,2020-09-11 23:37:04
ALM,NCL / TEES,,30-04-2014 06:06,329.0,265.0,11210.0,False,11-09-2020 23:38,Reason number 100 that the government are hiding things from the UK public. https://t.co/tzggCWa52o - Only got unti… https://t.co/uWksBb9a73,,Twitter for Android,False,2020-09-11 23:38:00,2020-09-11,23:38:00,2020-09-11 23:38:00
EDG.TG,"Manhattan, NY",Everything comes to us that belongs to us if we create the capacity to receive it..,2020-09-13 02:34:58,1571.0,1419.0,181.0,False,2020-11-09 23:39:46,"Pfizer, BioNTech say their COVID-19 vaccine is more than 90% effective
#COVID19 #CovidVaccine  https://t.co/kkj9eq7piM","['COVID19', 'CovidVaccine']",Twitter for iPhone,False,2020-09-11 23:39:46,2020-09-11,23:39:46,2020-09-11 23:39:46
Payne,Leix,hatetheads,2013-04-08 09:09:30,175.0,333.0,5792.0,False,2020-11-09 23:39:56,Bill gates wants to inject me with 5G  nanotech tracking devices 😉 I'm on to you Bill ya divil #CovidVaccine,['CovidVaccine'],Twitter for Android,False,2020-09-11 23:39:56,2020-09-11,23:39:56,2020-09-11 23:39:56
Nick,"Manchester, England",Msc 👨‍🎓 DevOps Engineer 🖥 for a 🏦 - “What would Olivia Pope do?”,2012-11-29 23:00:28,1245.0,1308.0,23645.0,False,2020-11-09 23:41:14,I don’t know if it’s because COVID has been so gruelling but I’m a little pessimistic and cautious about the new CO… https://t.co/y3AuC2q7pt,,Twitter for iPhone,False,2020-09-11 23:41:14,2020-09-11,23:41:14,2020-09-11 23:41:14
Jame Abraham,"Cleveland, OH",Prof. & Chair Dept. of Hematology and Oncology @ClevelandClinic #BreastCancer Deputy Editor JOP @ASCO_pubs Tweets are mine. No act of #Kindness is ever wasted,2011-06-05 14:28:28,5613.0,2069.0,12588.0,False,2020-11-09 23:41:55,Exciting news 90% efficacy #CovidVaccine @nytimes⁩  https://t.co/1zGqjelHko,['CovidVaccine'],Twitter for iPhone,False,2020-09-11 23:41:55,2020-09-11,23:41:55,2020-09-11 23:41:55
